COMPANY,MODEL,YEAR,MATS,#Clips,Type,Template,MAT TYPE,SORT CODE,ForcedMatchSKU
Toyota,Camry,2020 - 2025,4,4,A+Screw,TOY001,RHD,1,SAMPLE-TOY-001
Honda,Civic,2018 - 2024,4,2,A+Screw,HON001,RHD,1,SAMPLE-HON-001
Ford,Focus,2019 - 2025,4,4,D,FOR001,RHD,1,SAMPLE-FOR-001
BMW,3 Series,2020 - 2025,4,VEL,VEL,BMW001,RHD,1,SAMPLE-BMW-001
Audi,A4,2019 - 2025,4,8,D,AUD001,RHD,1,SAMPLE-AUD-001
Mercedes,C-Class,2020 - 2025,4,6,A+Screw,MER001,RHD,1,SAMPLE-MER-001
Volkswagen,Golf,2018 - 2024,4,4,D,VW001,RHD,1,SAMPLE-VW-001
Nissan,Altima,2019 - 2025,4,2,A+Screw,NIS001,RHD,1,SAMPLE-NIS-001
Hyundai,Elantra,2020 - 2025,4,4,O,HYU001,RHD,1,SAMPLE-HYU-001
Kia,Forte,2018 - 2024,4,2,A+Screw,KIA001,RHD,1,SAMPLE-KIA-001 
